               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.02914,            0.013885,           0.0068417,             0.98557,             0.98762,             0.99328,             0.82897,            0.024102,           0.0083261,           0.0050728,           0.0074477,           0.0074477,           0.0074477
                  68,            0.029101,            0.013466,            0.006434,             0.99117,             0.98447,              0.9934,              0.8013,            0.024002,           0.0081383,           0.0050333,            0.007409,            0.007409,            0.007409
                  69,            0.027772,            0.012517,           0.0062785,             0.99691,             0.98257,              0.9937,             0.81808,            0.023517,           0.0080481,           0.0050335,           0.0073703,           0.0073703,           0.0073703
                  70,            0.028353,            0.013125,           0.0064539,             0.99792,             0.98404,             0.99319,             0.82802,            0.022918,           0.0078333,           0.0051403,           0.0073316,           0.0073316,           0.0073316
                  71,            0.027926,            0.013021,           0.0061756,             0.99747,             0.98579,             0.99401,             0.80642,            0.023365,           0.0080255,           0.0049812,            0.007293,            0.007293,            0.007293
                  72,            0.028803,            0.013308,           0.0064816,             0.99645,             0.98593,             0.99283,             0.82741,            0.022539,           0.0081198,           0.0050102,           0.0072543,           0.0072543,           0.0072543
                  73,            0.027926,            0.012982,           0.0062855,             0.99185,             0.98617,             0.99155,             0.81087,            0.022981,           0.0084429,            0.005006,           0.0072156,           0.0072156,           0.0072156
                  74,             0.02704,            0.012437,           0.0061474,             0.99683,             0.98617,             0.99309,             0.83071,            0.022323,           0.0079119,            0.005077,            0.007177,            0.007177,            0.007177
                  75,            0.027593,            0.013065,           0.0059695,             0.99687,              0.9801,             0.99269,             0.81645,            0.023184,           0.0080557,           0.0048573,           0.0071383,           0.0071383,           0.0071383
                  76,            0.027225,            0.012551,           0.0061672,               0.997,             0.97937,             0.99268,             0.83055,            0.023512,            0.008034,           0.0048393,           0.0070996,           0.0070996,           0.0070996
                  77,             0.02647,            0.012521,           0.0062989,             0.99588,             0.98424,               0.994,             0.82528,            0.022944,           0.0079228,           0.0047916,           0.0070609,           0.0070609,           0.0070609
                  78,            0.027081,            0.012276,           0.0061871,             0.99634,             0.98133,             0.99381,             0.82228,             0.02285,           0.0079884,           0.0048756,           0.0070223,           0.0070223,           0.0070223
                  79,            0.027734,            0.013174,           0.0058883,             0.99361,             0.97953,             0.99394,             0.84083,            0.022254,           0.0077628,           0.0047874,           0.0069836,           0.0069836,           0.0069836
                  80,            0.027526,            0.012393,           0.0061976,             0.99621,             0.98415,             0.99357,             0.82589,            0.022935,           0.0078228,            0.004784,           0.0069449,           0.0069449,           0.0069449
